name,date,country,epidemic_key
MW153771.1,2020-08-06,Australia,australia_y2020
MW153796.1,2020-08-06,Australia,australia_y2020
MW153840.1,2020-08-06,Australia,australia_y2020
MW153854.1,2020-08-06,Australia,australia_y2020
MW153856.1,2020-08-06,Australia,australia_y2020
MW153876.1,2020-08-06,Australia,australia_y2020
MW153877.1,2020-08-06,Australia,australia_y2020
MW154507.1,2020-08-06,Australia,australia_y2020
MW154512.1,2020-08-06,Australia,australia_y2020
MW154513.1,2020-08-06,Australia,australia_y2020
MW154533.1,2020-08-06,Australia,australia_y2020
MW154527.1,2020-08-06,Australia,australia_y2020
MW154537.1,2020-08-06,Australia,australia_y2020
MW154536.1,2020-08-06,Australia,australia_y2020
MW154534.1,2020-08-06,Australia,australia_y2020
MW154510.1,2020-08-06,Australia,australia_y2020
MW155878.1,2020-08-06,Australia,australia_y2020
MW155877.1,2020-08-06,Australia,australia_y2020
MW155917.1,2020-08-06,Australia,australia_y2020
MW155987.1,2020-08-06,Australia,australia_y2020
MW155981.1,2020-08-06,Australia,australia_y2020
MW155983.1,2020-08-06,Australia,australia_y2020
MW155984.1,2020-08-06,Australia,australia_y2020
MW155986.1,2020-08-06,Australia,australia_y2020
MW155989.1,2020-08-06,Australia,australia_y2020
MW155990.1,2020-08-06,Australia,australia_y2020
MW155991.1,2020-08-06,Australia,australia_y2020
MW155992.1,2020-08-06,Australia,australia_y2020
MW155988.1,2020-08-06,Australia,australia_y2020
MW156206.1,2020-08-06,Australia,australia_y2020
MW156204.1,2020-08-06,Australia,australia_y2020
MW156202.1,2020-08-06,Australia,australia_y2020
MW156201.1,2020-08-06,Australia,australia_y2020
MW157089.1,2020-08-06,Australia,australia_y2020
MW157090.1,2020-08-06,Australia,australia_y2020
MW320829.1,2020-08-07,Australia,australia_y2020
MW320849.1,2020-08-07,Australia,australia_y2020
MW320912.1,2020-08-07,Australia,australia_y2020
MW320947.1,2020-08-07,Australia,australia_y2020
MW320995.1,2020-08-07,Australia,australia_y2020
MW321033.1,2020-08-07,Australia,australia_y2020
MW321040.1,2020-08-07,Australia,australia_y2020
MW321079.1,2020-08-07,Australia,australia_y2020
MW321229.1,2020-08-07,Australia,australia_y2020
MW321275.1,2020-08-07,Australia,australia_y2020
MW321280.1,2020-08-07,Australia,australia_y2020
MW321289.1,2020-08-07,Australia,australia_y2020
MW321343.1,2020-08-07,Australia,australia_y2020
MW321303.1,2020-08-07,Australia,australia_y2020
MW321345.1,2020-08-07,Australia,australia_y2020
MW321382.1,2020-08-07,Australia,australia_y2020
MW321417.1,2020-08-07,Australia,australia_y2020
MW277062.1,2020-08-07,Australia,australia_y2020
MW277181.1,2020-08-07,Australia,australia_y2020
MW277312.1,2020-08-07,Australia,australia_y2020
MW277394.1,2020-08-07,Australia,australia_y2020
MW184115.1,2020-08-07,Australia,australia_y2020
MW184198.1,2020-08-07,Australia,australia_y2020
MW184257.1,2020-08-07,Australia,australia_y2020
MW184384.1,2020-08-07,Australia,australia_y2020
MW184388.1,2020-08-07,Australia,australia_y2020
MW184452.1,2020-08-07,Australia,australia_y2020
MW184460.1,2020-08-07,Australia,australia_y2020
MW184474.1,2020-08-07,Australia,australia_y2020
MW184787.1,2020-08-07,Australia,australia_y2020
MW184877.1,2020-08-07,Australia,australia_y2020
MW184860.1,2020-08-07,Australia,australia_y2020
MW184903.1,2020-08-07,Australia,australia_y2020
MW184919.1,2020-08-07,Australia,australia_y2020
MW184922.1,2020-08-07,Australia,australia_y2020
MW185167.1,2020-08-07,Australia,australia_y2020
MW185176.1,2020-08-07,Australia,australia_y2020
MW185194.1,2020-08-07,Australia,australia_y2020
MW185265.1,2020-08-07,Australia,australia_y2020
MW185295.1,2020-08-07,Australia,australia_y2020
MW185324.1,2020-08-07,Australia,australia_y2020
MW185343.1,2020-08-07,Australia,australia_y2020
MW185369.1,2020-08-07,Australia,australia_y2020
MW185374.1,2020-08-07,Australia,australia_y2020
MW185370.1,2020-08-07,Australia,australia_y2020
MW185395.1,2020-08-07,Australia,australia_y2020
MW185414.1,2020-08-07,Australia,australia_y2020
MW185472.1,2020-08-07,Australia,australia_y2020
MW185565.1,2020-08-07,Australia,australia_y2020
MW185596.1,2020-08-07,Australia,australia_y2020
MW185629.1,2020-08-07,Australia,australia_y2020
MW185671.1,2020-08-07,Australia,australia_y2020
MW185680.1,2020-08-07,Australia,australia_y2020
MW185713.1,2020-08-07,Australia,australia_y2020
MW185723.1,2020-08-07,Australia,australia_y2020
MW185716.1,2020-08-07,Australia,australia_y2020
MW153504.1,2020-08-07,Australia,australia_y2020
MW153516.1,2020-08-07,Australia,australia_y2020
MW153536.1,2020-08-07,Australia,australia_y2020
MW153540.1,2020-08-07,Australia,australia_y2020
MW153549.1,2020-08-07,Australia,australia_y2020
MW153559.1,2020-08-07,Australia,australia_y2020
MW153747.1,2020-08-07,Australia,australia_y2020
MW153750.1,2020-08-07,Australia,australia_y2020
MW153749.1,2020-08-07,Australia,australia_y2020
MW153740.1,2020-08-07,Australia,australia_y2020
MW153751.1,2020-08-07,Australia,australia_y2020
MW153752.1,2020-08-07,Australia,australia_y2020
MW153768.1,2020-08-07,Australia,australia_y2020
MW153793.1,2020-08-07,Australia,australia_y2020
MW153846.1,2020-08-07,Australia,australia_y2020
MW153873.1,2020-08-07,Australia,australia_y2020
MW154495.1,2020-08-07,Australia,australia_y2020
MW154494.1,2020-08-07,Australia,australia_y2020
MW154497.1,2020-08-07,Australia,australia_y2020
MW154496.1,2020-08-07,Australia,australia_y2020
MW154500.1,2020-08-07,Australia,australia_y2020
MW154520.1,2020-08-07,Australia,australia_y2020
MW154521.1,2020-08-07,Australia,australia_y2020
MW154530.1,2020-08-07,Australia,australia_y2020
MW154531.1,2020-08-07,Australia,australia_y2020
MW154532.1,2020-08-07,Australia,australia_y2020
MW154526.1,2020-08-07,Australia,australia_y2020
MW155146.1,2020-08-07,Australia,australia_y2020
MW155826.1,2020-08-07,Australia,australia_y2020
MW155879.1,2020-08-07,Australia,australia_y2020
MW155880.1,2020-08-07,Australia,australia_y2020
MW155881.1,2020-08-07,Australia,australia_y2020
MW155873.1,2020-08-07,Australia,australia_y2020
MW155913.1,2020-08-07,Australia,australia_y2020
MW155973.1,2020-08-07,Australia,australia_y2020
MW155982.1,2020-08-07,Australia,australia_y2020
MW155977.1,2020-08-07,Australia,australia_y2020
MW155995.1,2020-08-07,Australia,australia_y2020
MW155994.1,2020-08-07,Australia,australia_y2020
MW157103.1,2020-08-07,Australia,australia_y2020
MW320733.1,2020-08-08,Australia,australia_y2020
MW320741.1,2020-08-08,Australia,australia_y2020
MW320771.1,2020-08-08,Australia,australia_y2020
MW320864.1,2020-08-08,Australia,australia_y2020
MW320865.1,2020-08-08,Australia,australia_y2020
MW320891.1,2020-08-08,Australia,australia_y2020
MW320926.1,2020-08-08,Australia,australia_y2020
MW320937.1,2020-08-08,Australia,australia_y2020
MW320977.1,2020-08-08,Australia,australia_y2020
MW321107.1,2020-08-08,Australia,australia_y2020
MW321265.1,2020-08-08,Australia,australia_y2020
MW321277.1,2020-08-08,Australia,australia_y2020
MW321374.1,2020-08-08,Australia,australia_y2020
MW276696.1,2020-08-08,Australia,australia_y2020
MW276714.1,2020-08-08,Australia,australia_y2020
MW276772.1,2020-08-08,Australia,australia_y2020
MW276773.1,2020-08-08,Australia,australia_y2020
MW276750.1,2020-08-08,Australia,australia_y2020
MW276820.1,2020-08-08,Australia,australia_y2020
MW276923.1,2020-08-08,Australia,australia_y2020
MW277032.1,2020-08-08,Australia,australia_y2020
MW277074.1,2020-08-08,Australia,australia_y2020
MW277162.1,2020-08-08,Australia,australia_y2020
MW277221.1,2020-08-08,Australia,australia_y2020
MW277304.1,2020-08-08,Australia,australia_y2020
MW277357.1,2020-08-08,Australia,australia_y2020
MW277487.1,2020-08-08,Australia,australia_y2020
MW277519.1,2020-08-08,Australia,australia_y2020
MW277530.1,2020-08-08,Australia,australia_y2020
MW277583.1,2020-08-08,Australia,australia_y2020
MW277600.1,2020-08-08,Australia,australia_y2020
MW277615.1,2020-08-08,Australia,australia_y2020
MW277662.1,2020-08-08,Australia,australia_y2020
MW184105.1,2020-08-08,Australia,australia_y2020
MW184113.1,2020-08-08,Australia,australia_y2020
MW184116.1,2020-08-08,Australia,australia_y2020
MW184203.1,2020-08-08,Australia,australia_y2020
MW184284.1,2020-08-08,Australia,australia_y2020
MW184352.1,2020-08-08,Australia,australia_y2020
MW184461.1,2020-08-08,Australia,australia_y2020
MW184482.1,2020-08-08,Australia,australia_y2020
