name,date
KC293537.1,2012-04-18
KF041873.1,2012-04-19
KF041877.1,2012-04-21
KF041878.1,2012-04-21
KF041874.1,2012-04-22
KF041879.1,2012-04-23
KF041884.1,2012-04-24
KC291185.1,2012-05-06
KF041882.1,2012-05-07
KF041883.1,2012-05-14
KY926205.1,2012-05-28
KC291186.1,2012-06-11
KY926045.1,2012-06-13
KY925893.1,2012-06-22
KY925078.1,2012-06-27
KF041885.1,2012-06-27
KY926120.1,2012-06-28
KY925052.1,2012-07-06
KY925238.1,2012-07-06
KY925299.1,2012-07-06
KY925938.1,2012-07-06
KY926261.1,2012-07-06
KY925625.1,2012-07-08
KY925931.1,2012-07-08
KY925086.1,2012-07-10
KY925735.1,2012-07-10
KC291184.1,2012-07-16
KY925699.1,2012-07-17
KY925351.1,2012-07-20
KY924956.1,2012-07-23
KY925274.1,2012-07-23
KY926026.1,2012-07-23
KY925543.1,2012-07-25
KY926282.1,2012-07-26
KC291187.1,2012-07-26
KY924991.1,2012-07-27
KY925702.1,2012-07-30
KY926273.1,2012-08-08
KY925669.1,2012-08-10
KY926225.1,2012-08-10
KY926276.1,2012-08-23
KF041886.1,2012-10-02
KF041887.1,2013-01-22
KF041888.1,2013-02-09
KF041889.1,2013-02-09
KF142474.1,2013-03-04
KF142475.1,2013-03-10
KF203232.1,2013-03-20
KF151222.1,2013-03-26
KF041890.1,2013-04-03
KF151215.1,2013-04-03
KF041891.1,2013-04-09
KF041892.1,2013-04-09
KF041893.1,2013-04-09
KF151216.1,2013-04-11
KF151217.1,2013-04-12
KF151218.1,2013-04-13
KF041894.1,2013-04-15
KF151219.1,2013-04-15
KF151220.1,2013-04-15
KY925776.1,2013-04-22
KF151221.1,2013-04-27
KY925821.1,2013-05-04
KY926235.1,2013-06-07
KY926048.1,2013-06-18
KY926160.1,2013-06-20
KY925038.1,2013-06-26
KY925389.1,2013-06-28
KY925542.1,2013-06-28
KY925670.1,2013-06-28
KY925479.1,2013-07-01
KY925521.1,2013-07-04
KY926069.1,2013-07-05
KY925525.1,2013-07-13
KY925560.1,2013-07-14
KY926328.1,2013-07-15
KY926309.1,2013-07-18
KY925154.1,2013-07-24
KY926193.1,2013-08-21
KY925399.1,2013-08-28
KY926272.1,2013-09-06
KP067772.1,2014-03-03
KP067773.1,2014-03-03
KP067765.1,2014-03-08
KP067766.1,2014-03-18
KP067771.1,2014-03-24
KP067767.1,2014-03-26
KP067769.1,2014-03-26
KP067757.1,2014-03-27
KP067770.1,2014-03-28
KP067768.1,2014-03-30
KP067762.1,2014-04-04
KP067759.1,2014-04-08
KP067763.1,2014-04-10
KP067764.1,2014-04-10
KP067761.1,2014-04-11
KP067760.1,2014-04-23
KP067758.1,2014-04-29
KP067756.1,2014-05-08
KY925477.1,2014-06-12
KY925532.1,2014-06-30
KY925626.1,2014-07-08
KY926286.1,2014-08-25
KY925750.1,2014-08-29
KY925067.1,2014-09-15
KY925622.1,2016-03-26
KY925443.1,2016-03-27
KY925204.1,2016-03-29
KY925811.1,2016-04-02
KY925137.1,2016-04-04
KY925209.1,2016-04-04
KY925684.1,2016-04-04
KY925272.1,2016-04-07
KY925857.1,2016-04-08
KY926100.1,2016-04-08
KY926334.1,2016-04-08
KY925365.1,2016-04-09
KY925794.1,2016-04-09
KY926161.1,2016-04-11
KY925242.1,2016-04-19
KY925812.1,2016-04-19
KY925587.1,2016-04-21
KY925959.1,2016-04-21
KY926001.1,2016-04-21
KY924963.1,2016-04-22
KY926269.1,2016-04-22
KY926363.1,2016-04-23
KY925910.1,2016-04-24
KY925951.1,2016-04-25
KY926257.1,2016-04-25
KY926366.1,2016-04-25
KY925175.1,2016-04-26
KY925363.1,2016-04-26
KY926203.1,2016-04-28
KY925080.1,2016-04-29
KY925165.1,2016-04-29
KY925798.1,2016-04-29
KY926159.1,2016-04-29
KY924976.1,2016-05-02
KY925549.1,2016-05-02
KY925652.1,2016-05-03
