name,date
HQ540689.1,2009-10-19
OM824753.1,2011-XX-XX
OM824754.1,2011-XX-XX
OM824755.1,2011-XX-XX
OM824756.1,2011-XX-XX
OM824758.1,2011-XX-XX
OM824759.1,2011-XX-XX
OM824761.1,2011-XX-XX
OM824763.1,2011-XX-XX
OM824765.1,2011-XX-XX
OM824766.1,2011-XX-XX
OM824767.1,2011-XX-XX
OM824768.1,2011-XX-XX
OM824769.1,2011-XX-XX
OM824770.1,2011-XX-XX
OM824771.1,2011-XX-XX
OM824773.1,2011-XX-XX
OM824774.1,2011-XX-XX
OM824775.1,2011-XX-XX
OM824776.1,2011-XX-XX
OM824777.1,2011-XX-XX
OM824778.1,2011-XX-XX
OM824779.1,2011-XX-XX
OM824780.1,2011-XX-XX
OM824781.1,2011-XX-XX
OM824782.1,2011-XX-XX
OM824783.1,2011-XX-XX
OM824784.1,2011-XX-XX
OM824785.1,2011-XX-XX
OM824786.1,2011-XX-XX
OM824787.1,2011-XX-XX
OM824788.1,2011-XX-XX
OM824789.1,2011-XX-XX
OM824790.1,2011-XX-XX
OM824792.1,2011-XX-XX
OM824794.1,2011-XX-XX
OM824795.1,2011-XX-XX
OM824796.1,2011-XX-XX
OM824797.1,2011-XX-XX
OM824798.1,2011-XX-XX
OM824799.1,2011-XX-XX
OM824801.1,2011-XX-XX
OM824802.1,2011-XX-XX
OM824803.1,2011-XX-XX
OM824804.1,2011-XX-XX
OM824805.1,2011-XX-XX
OM824806.1,2011-XX-XX
OM824807.1,2011-XX-XX
OM824808.1,2011-XX-XX
OM824809.1,2011-XX-XX
OM824811.1,2011-XX-XX
OM824812.1,2011-XX-XX
OM824893.1,2012-XX-XX
OM824894.1,2012-XX-XX
OM824895.1,2012-XX-XX
OM824896.1,2012-XX-XX
OM824897.1,2012-XX-XX
OM824898.1,2012-XX-XX
OM824899.1,2012-XX-XX
OM824900.1,2012-XX-XX
OM824901.1,2012-XX-XX
OM824902.1,2012-XX-XX
OM824903.1,2012-XX-XX
OM824904.1,2012-XX-XX
OM824906.1,2012-XX-XX
OM824908.1,2012-XX-XX
OM824909.1,2012-XX-XX
OM824910.1,2012-XX-XX
OM824911.1,2012-XX-XX
OM824912.1,2012-XX-XX
OM824913.1,2012-XX-XX
OM824914.1,2012-XX-XX
OM824915.1,2012-XX-XX
OM824916.1,2012-XX-XX
OM824917.1,2012-XX-XX
OM824919.1,2012-XX-XX
OM824920.1,2012-XX-XX
OM824921.1,2012-XX-XX
OM824922.1,2012-XX-XX
OM824923.1,2012-XX-XX
OM824924.1,2012-XX-XX
OM824925.1,2012-XX-XX
OM824927.1,2012-XX-XX
OM824928.1,2012-XX-XX
OM824929.1,2012-XX-XX
OM824930.1,2012-XX-XX
OM824931.1,2012-XX-XX
OM824934.1,2012-XX-XX
OM824935.1,2012-XX-XX
OM824936.1,2012-XX-XX
OM824938.1,2012-XX-XX
OM824939.1,2012-XX-XX
OM824940.1,2012-XX-XX
OM824941.1,2012-XX-XX
OM824942.1,2012-XX-XX
OM824943.1,2012-XX-XX
OM824944.1,2012-XX-XX
OM824945.1,2012-XX-XX
OM824946.1,2012-XX-XX
OM824947.1,2012-XX-XX
OM824948.1,2012-XX-XX
OM824949.1,2012-XX-XX
OM824950.1,2012-XX-XX
OM824952.1,2012-XX-XX
OM824652.1,2013-XX-XX
OM824653.1,2013-XX-XX
OM824654.1,2013-XX-XX
OM824655.1,2013-XX-XX
OM824656.1,2013-XX-XX
OM824657.1,2013-XX-XX
OM824658.1,2013-XX-XX
OM824659.1,2013-XX-XX
OM824660.1,2013-XX-XX
OM824661.1,2013-XX-XX
OM824662.1,2013-XX-XX
OM824663.1,2013-XX-XX
OM824664.1,2013-XX-XX
OM824665.1,2013-XX-XX
OM824666.1,2013-XX-XX
OM824668.1,2013-XX-XX
OM824669.1,2013-XX-XX
OM824670.1,2013-XX-XX
OM824671.1,2013-XX-XX
OM824672.1,2013-XX-XX
OM824673.1,2013-XX-XX
OM824674.1,2013-XX-XX
OM824675.1,2013-XX-XX
OM824676.1,2013-XX-XX
OM824677.1,2013-XX-XX
OM824678.1,2013-XX-XX
OM824679.1,2013-XX-XX
OM824680.1,2013-XX-XX
OM824681.1,2013-XX-XX
OM824682.1,2013-XX-XX
OM824724.1,2013-XX-XX
OM824725.1,2013-XX-XX
OM824727.1,2013-XX-XX
OM824728.1,2013-XX-XX
OM824729.1,2013-XX-XX
OM824730.1,2013-XX-XX
OM824731.1,2013-XX-XX
OM824732.1,2013-XX-XX
OM824734.1,2013-XX-XX
OM824735.1,2013-XX-XX
OM824736.1,2013-XX-XX
OM824737.1,2013-XX-XX
OM824738.1,2013-XX-XX
OM824739.1,2013-XX-XX
OM824740.1,2013-XX-XX
OM824741.1,2013-XX-XX
OM824742.1,2013-XX-XX
OM824743.1,2013-XX-XX
OM824744.1,2013-XX-XX
OM824745.1,2013-XX-XX
OM824746.1,2013-XX-XX
OM824747.1,2013-XX-XX
OM824748.1,2013-XX-XX
OM824750.1,2013-XX-XX
OM824751.1,2013-XX-XX
OM824752.1,2013-XX-XX
OM824833.1,2013-XX-XX
OM824834.1,2013-XX-XX
OM824835.1,2013-XX-XX
OM824836.1,2013-XX-XX
OM824837.1,2013-XX-XX
OM824839.1,2013-XX-XX
OM824840.1,2013-XX-XX
OM824841.1,2013-XX-XX
OM824842.1,2013-XX-XX
OM824843.1,2013-XX-XX
OM824844.1,2013-XX-XX
OM824845.1,2013-XX-XX
OM824846.1,2013-XX-XX
