name,date
MT861720.1,1992-XX-XX
MT861721.1,1992-XX-XX
MT861722.1,1992-XX-XX
MT861723.1,1992-XX-XX
MT861724.1,1992-XX-XX
MT861725.1,1992-XX-XX
MT861726.1,1992-XX-XX
MT861727.1,1992-XX-XX
MT861728.1,1992-XX-XX
MT861729.1,1992-XX-XX
MT861730.1,1992-XX-XX
MT861731.1,1992-XX-XX
MT861732.1,1992-XX-XX
MT861733.1,1992-XX-XX
MT861734.1,1992-XX-XX
MT861735.1,1992-XX-XX
MT861736.1,1992-XX-XX
MT861737.1,1992-XX-XX
MT861739.1,1992-XX-XX
MT861740.1,1992-XX-XX
MH012519.1,1992-XX-XX
MH012520.1,1992-XX-XX
MH012521.1,1992-XX-XX
MH012522.1,1992-XX-XX
MH012523.1,1992-XX-XX
MH012524.1,1992-XX-XX
MH012525.1,1992-XX-XX
MH012526.1,1992-XX-XX
MH012527.1,1992-XX-XX
MH012528.1,1992-XX-XX
MH012529.1,1992-XX-XX
MH012530.1,1992-XX-XX
MH012531.1,1992-XX-XX
MH012532.1,1992-XX-XX
MH012533.1,1992-XX-XX
MH012534.1,1992-XX-XX
MH012535.1,1992-XX-XX
MH012536.1,1992-XX-XX
MH012537.1,1992-XX-XX
MH012538.1,1992-XX-XX
MH012539.1,1992-XX-XX
MH012540.1,1992-XX-XX
MH012541.1,1992-XX-XX
MH012542.1,1992-XX-XX
MH012543.1,1992-XX-XX
MH012544.1,1992-XX-XX
MH012545.1,1992-XX-XX
MH012546.1,1992-XX-XX
MH012547.1,1992-XX-XX
MH012548.1,1992-XX-XX
MH012549.1,1992-XX-XX
MH012550.1,1992-XX-XX
MH012551.1,1992-XX-XX
MH012552.1,1992-XX-XX
MH012554.1,1992-XX-XX
MH012555.1,1992-XX-XX
MH012557.1,1992-XX-XX
MH012558.1,1992-XX-XX
MH012559.1,1992-XX-XX
MH012560.1,1992-XX-XX
MH012561.1,1992-XX-XX
MH012562.1,1992-XX-XX
MH012563.1,1992-XX-XX
MH012565.1,1992-XX-XX
MH012566.1,1992-XX-XX
MH012567.1,1992-XX-XX
MH012568.1,1992-XX-XX
MH012569.1,1992-XX-XX
MH012571.1,1992-XX-XX
MH012572.1,1992-XX-XX
MH012573.1,1992-XX-XX
MH012574.1,1992-XX-XX
MH012575.1,1992-XX-XX
MH012576.1,1992-XX-XX
MH012577.1,1992-XX-XX
MH012578.1,1992-XX-XX
MH012579.1,1992-XX-XX
MH013129.1,1992-XX-XX
MH013130.1,1992-XX-XX
MH013132.1,1992-XX-XX
MH013134.1,1992-XX-XX
MH013136.1,1992-XX-XX
MH013137.1,1992-XX-XX
MH013138.1,1992-XX-XX
MH013139.1,1992-XX-XX
MH013140.1,1992-XX-XX
MH013142.1,1992-XX-XX
MH013143.1,1992-XX-XX
MH013144.1,1992-XX-XX
MH013146.1,1992-XX-XX
MH013148.1,1992-XX-XX
MH013149.1,1992-XX-XX
MH013151.1,1992-XX-XX
MH013152.1,1992-XX-XX
MH013153.1,1992-XX-XX
MH013154.1,1992-XX-XX
MH013156.1,1992-XX-XX
MH013157.1,1992-XX-XX
MH013158.1,1992-XX-XX
MH013160.1,1992-XX-XX
MH013161.1,1992-XX-XX
MH013162.1,1992-XX-XX
MH013163.1,1992-XX-XX
MH013164.1,1992-XX-XX
MH013165.1,1992-XX-XX
MH013166.1,1992-XX-XX
MH013167.1,1992-XX-XX
MH013168.1,1992-XX-XX
MH013169.1,1992-XX-XX
MH013170.1,1992-XX-XX
MH013171.1,1992-XX-XX
MH013172.1,1992-XX-XX
MH013174.1,1992-XX-XX
MH013175.1,1992-XX-XX
MH013176.1,1992-XX-XX
MH013177.1,1992-XX-XX
MH013178.1,1992-XX-XX
MH013179.1,1992-XX-XX
MH013180.1,1992-XX-XX
MH013181.1,1992-XX-XX
MH013183.1,1992-XX-XX
MH013184.1,1992-XX-XX
MH013185.1,1992-XX-XX
MH013186.1,1992-XX-XX
MH013187.1,1992-XX-XX
MT861212.1,1993-XX-XX
MT861213.1,1993-XX-XX
MT861214.1,1993-XX-XX
MT861215.1,1993-XX-XX
MT861216.1,1993-XX-XX
MT861217.1,1993-XX-XX
MT861218.1,1993-XX-XX
MT861219.1,1993-XX-XX
MT861220.1,1993-XX-XX
MT861221.1,1993-XX-XX
MT861222.1,1993-XX-XX
MT861223.1,1993-XX-XX
MT861224.1,1993-XX-XX
MT861225.1,1993-XX-XX
MT861226.1,1993-XX-XX
MT861227.1,1993-XX-XX
MT861228.1,1993-XX-XX
MT861229.1,1993-XX-XX
MT861230.1,1993-XX-XX
MT861231.1,1993-XX-XX
MT861232.1,1993-XX-XX
MT861233.1,1993-XX-XX
MT861234.1,1993-XX-XX
MT861235.1,1993-XX-XX
MT861236.1,1993-XX-XX
MT861237.1,1993-XX-XX
MT861238.1,1993-XX-XX
MT861239.1,1993-XX-XX
MT861240.1,1993-XX-XX
MT861241.1,1993-XX-XX
MT861242.1,1993-XX-XX
MT861243.1,1993-XX-XX
MT861244.1,1993-XX-XX
MT861245.1,1993-XX-XX
