name,date
"EPI_ISL_131178,2012-03-07",2000-01-01
"EPI_ISL_131179,2012-02-24",2000-01-01
"EPI_ISL_131176,2012-02-14",2000-01-01
"EPI_ISL_131177,2012-03-06",2000-01-01
"EPI_ISL_131180,2012-03-19",2000-01-01
"EPI_ISL_17760639,2011-01-01",2000-01-01
"EPI_ISL_131186,2012-03-19",2000-01-01
"EPI_ISL_131187,2012-04-20",2000-01-01
"EPI_ISL_17760637,2010-09-01",2000-01-01
"EPI_ISL_131185,2012-03-05",2000-01-01
"EPI_ISL_131190,2012-04-09",2000-01-01
"EPI_ISL_131188,2012-03-20",2000-01-01
"EPI_ISL_131197,2004-01-01",2000-01-01
"EPI_ISL_17760653,2011-02-01",2000-01-01
"EPI_ISL_17760651,2011-02-01",2000-01-01
"EPI_ISL_163974,2010-06-15",2000-01-01
"EPI_ISL_163975,2010-06-27",2000-01-01
"EPI_ISL_393358,2012-08-29",2000-01-01
"EPI_ISL_163978,2010-07-17",2000-01-01
"EPI_ISL_393359,2012-09-26",2000-01-01
"EPI_ISL_163979,2010-07-24",2000-01-01
"EPI_ISL_163976,2010-07-15",2000-01-01
"EPI_ISL_17760644,2011-02-01",2000-01-01
"EPI_ISL_393357,2012-08-29",2000-01-01
"EPI_ISL_163977,2010-07-15",2000-01-01
"EPI_ISL_17760643,2011-02-01",2000-01-01
"EPI_ISL_163982,2010-07-30",2000-01-01
"EPI_ISL_163983,2010-07-31",2000-01-01
"EPI_ISL_17760641,2011-01-01",2000-01-01
"EPI_ISL_163980,2010-07-25",2000-01-01
"EPI_ISL_17760640,2011-01-01",2000-01-01
"EPI_ISL_163981,2010-07-27",2000-01-01
"EPI_ISL_17760671,2011-05-01",2000-01-01
"EPI_ISL_393366,2014-01-06",2000-01-01
"EPI_ISL_163986,2010-08-14",2000-01-01
"EPI_ISL_393367,2014-01-06",2000-01-01
"EPI_ISL_163987,2010-08-17",2000-01-01
"EPI_ISL_393364,2013-04-09",2000-01-01
"EPI_ISL_163984,2010-08-10",2000-01-01
"EPI_ISL_393365,2013-12-29",2000-01-01
"EPI_ISL_163985,2010-08-16",2000-01-01
"EPI_ISL_393362,2013-01-05",2000-01-01
"EPI_ISL_163990,2010-08-22",2000-01-01
"EPI_ISL_393363,2013-01-05",2000-01-01
"EPI_ISL_163991,2010-08-29",2000-01-01
"EPI_ISL_17760665,2011-03-01",2000-01-01
"EPI_ISL_393360,2012-12-24",2000-01-01
"EPI_ISL_163988,2010-08-17",2000-01-01
"EPI_ISL_17760664,2011-03-01",2000-01-01
"EPI_ISL_393361,2012-12-24",2000-01-01
"EPI_ISL_163989,2010-08-19",2000-01-01
"EPI_ISL_131221,2012-03-26",2000-01-01
"EPI_ISL_393374,2014-11-18",2000-01-01
"EPI_ISL_163994,2010-08-15",2000-01-01
"EPI_ISL_17760662,2011-03-01",2000-01-01
"EPI_ISL_393375,2014-11-25",2000-01-01
"EPI_ISL_393372,2014-11-14",2000-01-01
"EPI_ISL_163992,2010-08-29",2000-01-01
"EPI_ISL_393373,2014-11-18",2000-01-01
"EPI_ISL_163993,2010-08-29",2000-01-01
"EPI_ISL_17760659,2011-03-01",2000-01-01
"EPI_ISL_393370,2014-10-28",2000-01-01
"EPI_ISL_393371,2014-11-14",2000-01-01
"EPI_ISL_17760657,2011-02-01",2000-01-01
"EPI_ISL_393368,2014-05-08",2000-01-01
"EPI_ISL_17760656,2011-02-01",2000-01-01
"EPI_ISL_393369,2014-05-13",2000-01-01
"EPI_ISL_393382,2014-12-09",2000-01-01
"EPI_ISL_393383,2014-12-11",2000-01-01
"EPI_ISL_393380,2014-12-09",2000-01-01
"EPI_ISL_393381,2014-12-09",2000-01-01
"EPI_ISL_393378,2014-12-09",2000-01-01
"EPI_ISL_393379,2014-12-09",2000-01-01
"EPI_ISL_393376,2014-12-09",2000-01-01
"EPI_ISL_393377,2014-12-09",2000-01-01
"EPI_ISL_393390,2014-12-18",2000-01-01
"EPI_ISL_393391,2014-12-18",2000-01-01
"EPI_ISL_393388,2014-12-16",2000-01-01
"EPI_ISL_393389,2014-12-16",2000-01-01
"EPI_ISL_393386,2014-12-16",2000-01-01
"EPI_ISL_393387,2014-12-16",2000-01-01
"EPI_ISL_393384,2014-12-16",2000-01-01
"EPI_ISL_393385,2014-12-16",2000-01-01
"EPI_ISL_393398,2014-12-18",2000-01-01
"EPI_ISL_393399,2014-12-19",2000-01-01
"EPI_ISL_393396,2014-12-18",2000-01-01
"EPI_ISL_393397,2014-12-18",2000-01-01
"EPI_ISL_393394,2014-12-18",2000-01-01
"EPI_ISL_393395,2014-12-18",2000-01-01
"EPI_ISL_393392,2014-12-18",2000-01-01
"EPI_ISL_393393,2014-12-18",2000-01-01
"EPI_ISL_393404,2014-12-23",2000-01-01
"EPI_ISL_393405,2014-12-24",2000-01-01
"EPI_ISL_393402,2014-12-23",2000-01-01
"EPI_ISL_393403,2014-12-23",2000-01-01
"EPI_ISL_393400,2014-12-19",2000-01-01
"EPI_ISL_393401,2014-12-19",2000-01-01
"EPI_ISL_131267,2012-10-21",2000-01-01
"EPI_ISL_164038,2008-10-21",2000-01-01
"EPI_ISL_131270,2012-10-03",2000-01-01
"EPI_ISL_164039,2008-12-30",2000-01-01
"EPI_ISL_131271,2012-10-13",2000-01-01
"EPI_ISL_164036,2007-11-08",2000-01-01
"EPI_ISL_131268,2012-10-01",2000-01-01
"EPI_ISL_164037,2008-02-25",2000-01-01
"EPI_ISL_131269,2012-10-05",2000-01-01
"EPI_ISL_164042,2009-01-06",2000-01-01
"EPI_ISL_131274,2012-11-01",2000-01-01
"EPI_ISL_131275,2012-10-30",2000-01-01
"EPI_ISL_164040,2009-01-02",2000-01-01
"EPI_ISL_131272,2012-10-08",2000-01-01
"EPI_ISL_164041,2009-01-07",2000-01-01
"EPI_ISL_131273,2012-10-01",2000-01-01
"EPI_ISL_164046,2009-01-07",2000-01-01
"EPI_ISL_131278,2012-10-13",2000-01-01
"EPI_ISL_164047,2009-01-08",2000-01-01
"EPI_ISL_131276,2012-10-15",2000-01-01
"EPI_ISL_164045,2009-01-06",2000-01-01
"EPI_ISL_131277,2012-10-02",2000-01-01
"EPI_ISL_164050,2008-12-29",2000-01-01
"EPI_ISL_164051,2008-12-29",2000-01-01
"EPI_ISL_164048,2008-12-09",2000-01-01
"EPI_ISL_164049,2009-01-08",2000-01-01
"EPI_ISL_164054,2009-01-20",2000-01-01
"EPI_ISL_164055,2010-08-31",2000-01-01
"EPI_ISL_164052,2008-12-30",2000-01-01
"EPI_ISL_164053,2008-12-31",2000-01-01
"EPI_ISL_164058,2011-01-11",2000-01-01
"EPI_ISL_164059,2010-12-22",2000-01-01
"EPI_ISL_164056,2010-08-31",2000-01-01
"EPI_ISL_164057,2011-01-10",2000-01-01
"EPI_ISL_164062,2012-02-16",2000-01-01
"EPI_ISL_164063,2012-03-01",2000-01-01
"EPI_ISL_164060,2011-01-06",2000-01-01
"EPI_ISL_164061,2012-02-15",2000-01-01
