method,track,sim_regime,root_id,N,H,sample_seed,valid,tree_kl,split_kl,rf,quartet,branch_w_all,terminal_edit,runtime
neutral_bd,empirical,,NODE_0000000,16,0.010315698124999998,0,20,nan,nan,0.991304347826087,0.7527747252747252,0.0007108289880764713,0.024834363957597173,4.050450086593628
neutral_bd,sim_neutral,neutral,NODE_0000000,16,0.010315698124999998,0,20,0.6931471605599453,42.597516564757946,0.9464285714285714,0.6369230769230769,0.000703146822506778,0.020251766784452296,4.050450086593628
neutral_bd,sim_JTT,JTT,NODE_0000000,16,0.010315698124999998,0,20,0.6931471605599453,42.597516564757946,0.9571428571428572,0.6246978021978022,0.000703146822506778,0.020710026501766784,4.050450086593628
neutral_bd,sim_WAG,WAG,NODE_0000000,16,0.010315698124999998,0,20,0.6931471605599453,42.597516564757946,0.9607142857142857,0.6278571428571429,0.000703146822506778,0.020191033568904594,4.050450086593628
neutral_bd,sim_LG,LG,NODE_0000000,16,0.010315698124999998,0,20,0.6931471605599453,42.597516564757946,0.9464285714285714,0.6418131868131868,0.000703146822506778,0.019600265017667845,4.050450086593628
empirical_bd,empirical,,NODE_0000000,16,0.010315698124999998,0,20,nan,nan,0.991304347826087,0.7370329670329671,0.0007108289880764713,0.02504416961130742,3.9203884601593018
empirical_bd,sim_neutral,neutral,NODE_0000000,16,0.010315698124999998,0,20,0.6931471605599453,42.597516564757946,0.9678571428571429,0.652032967032967,0.000703146822506778,0.020549911660777385,3.9203884601593018
empirical_bd,sim_JTT,JTT,NODE_0000000,16,0.010315698124999998,0,20,0.6931471605599453,42.597516564757946,0.9642857142857143,0.6368956043956044,0.000703146822506778,0.02112411660777385,3.9203884601593018
empirical_bd,sim_WAG,WAG,NODE_0000000,16,0.010315698124999998,0,20,0.6931471605599453,42.597516564757946,0.9607142857142857,0.6410714285714286,0.000703146822506778,0.020549911660777385,3.9203884601593018
empirical_bd,sim_LG,LG,NODE_0000000,16,0.010315698124999998,0,20,0.6931471605599453,42.597516564757946,0.9535714285714286,0.6223076923076923,0.000703146822506778,0.01988184628975265,3.9203884601593018
plm_prior,empirical,,NODE_0000000,16,0.010315698124999998,0,20,nan,nan,0.991304347826087,0.7562087912087913,0.0007108289880764713,0.02490613957597173,1.7992722988128662
plm_prior,sim_neutral,neutral,NODE_0000000,16,0.010315698124999998,0,20,0.6931471605599453,42.597516564757946,0.95,0.6076373626373627,0.000703146822506778,0.02020207597173145,1.7992722988128662
plm_prior,sim_JTT,JTT,NODE_0000000,16,0.010315698124999998,0,20,0.6931471605599453,42.597516564757946,0.9535714285714285,0.6191483516483517,0.000703146822506778,0.02070450530035336,1.7992722988128662
