gid,split,date_min,date_max,n_leaves,voc_id,prospective,exact_recall,acquired_recall,bundle_frac,root_n_sig,root_bundle
1,val,2020-01-25,2020-03-24,300,Gamma,True,0.0833,0.0000,0.0000,1,
1,val,2020-01-25,2020-03-24,300,Zeta,True,0.3333,0.0000,0.0000,1,
1,val,2020-01-25,2020-03-24,300,Alpha,True,0.1429,0.0000,0.0000,1,
1,val,2020-01-25,2020-03-24,300,Beta,True,0.1429,0.0000,0.0000,1,
1,val,2020-01-25,2020-03-24,300,Delta,True,0.1667,0.0000,0.0000,1,
1,val,2020-01-25,2020-03-24,300,Omicron_BA1,True,0.0714,0.0357,0.0000,1,
1,val,2020-01-25,2020-03-24,300,Lambda,True,0.3333,0.1667,0.0000,1,
1,val,2020-01-25,2020-03-24,300,Mu,True,0.1111,0.0000,0.0000,1,
2,val,2020-03-24,2020-06-10,297,Gamma,True,0.1667,0.1667,0.0000,0,
2,val,2020-03-24,2020-06-10,297,Zeta,True,0.3333,0.3333,0.0000,0,
2,val,2020-03-24,2020-06-10,297,Alpha,True,0.4286,0.4286,0.0000,0,
2,val,2020-03-24,2020-06-10,297,Beta,True,0.2857,0.2857,0.0000,0,
2,val,2020-03-24,2020-06-10,297,Delta,True,0.3333,0.3333,0.0000,0,
2,val,2020-03-24,2020-06-10,297,Omicron_BA1,True,0.1071,0.1071,0.0000,0,
2,val,2020-03-24,2020-06-10,297,Lambda,True,0.3333,0.3333,0.0000,0,
2,val,2020-03-24,2020-06-10,297,Mu,True,0.2222,0.2222,0.0000,0,
3,val,2020-06-10,2020-06-28,245,Gamma,True,0.1667,0.0833,0.0000,1,
3,val,2020-06-10,2020-06-28,245,Zeta,True,0.3333,0.0000,0.0000,1,
3,val,2020-06-10,2020-06-28,245,Alpha,True,0.4286,0.2857,0.0000,1,
3,val,2020-06-10,2020-06-28,245,Beta,True,0.2857,0.1429,0.0000,1,
3,val,2020-06-10,2020-06-28,245,Delta,True,0.3333,0.1667,0.0000,1,
3,val,2020-06-10,2020-06-28,245,Omicron_BA1,True,0.1071,0.0714,0.0000,1,
3,val,2020-06-10,2020-06-28,245,Lambda,True,0.1667,0.0000,0.0000,1,
3,val,2020-06-10,2020-06-28,245,Mu,True,0.2222,0.1111,0.0000,1,
4,val,2020-06-28,2020-07-03,300,Gamma,True,0.1667,0.0833,0.0000,1,
4,val,2020-06-28,2020-07-03,300,Zeta,True,0.3333,0.0000,0.0000,1,
4,val,2020-06-28,2020-07-03,300,Alpha,True,0.4286,0.2857,0.0000,1,
4,val,2020-06-28,2020-07-03,300,Beta,True,0.2857,0.1429,0.0000,1,
4,val,2020-06-28,2020-07-03,300,Delta,True,0.3333,0.1667,0.0000,1,
4,val,2020-06-28,2020-07-03,300,Omicron_BA1,True,0.1071,0.0714,0.0000,1,
4,val,2020-06-28,2020-07-03,300,Lambda,True,0.1667,0.0000,0.0000,1,
4,val,2020-06-28,2020-07-03,300,Mu,True,0.2222,0.1111,0.0000,1,
5,val,2020-07-03,2020-07-06,300,Gamma,True,0.0833,0.0000,0.0000,1,
5,val,2020-07-03,2020-07-06,300,Zeta,True,0.3333,0.0000,0.0000,1,
5,val,2020-07-03,2020-07-06,300,Alpha,True,0.1429,0.0000,0.0000,1,
5,val,2020-07-03,2020-07-06,300,Beta,True,0.1429,0.0000,0.0000,1,
5,val,2020-07-03,2020-07-06,300,Delta,True,0.1667,0.0000,0.0000,1,
5,val,2020-07-03,2020-07-06,300,Omicron_BA1,True,0.0714,0.0000,0.0000,2,S477N
5,val,2020-07-03,2020-07-06,300,Lambda,True,0.1667,0.0000,0.0000,1,
5,val,2020-07-03,2020-07-06,300,Mu,True,0.1111,0.0000,0.0000,1,
7,val,2020-07-09,2020-07-12,300,Gamma,True,0.0833,0.0000,0.0000,1,
7,val,2020-07-09,2020-07-12,300,Zeta,True,0.3333,0.0000,0.0000,1,
7,val,2020-07-09,2020-07-12,300,Alpha,True,0.1429,0.0000,0.0000,1,
7,val,2020-07-09,2020-07-12,300,Beta,True,0.1429,0.0000,0.0000,1,
7,val,2020-07-09,2020-07-12,300,Delta,True,0.1667,0.0000,0.0000,1,
7,val,2020-07-09,2020-07-12,300,Omicron_BA1,True,0.0714,0.0000,0.0000,2,S477N
7,val,2020-07-09,2020-07-12,300,Lambda,True,0.1667,0.0000,0.0000,1,
7,val,2020-07-09,2020-07-12,300,Mu,True,0.1111,0.0000,0.0000,1,
9,val,2020-07-14,2020-07-15,300,Gamma,True,0.0833,0.0000,0.0000,1,
9,val,2020-07-14,2020-07-15,300,Zeta,True,0.3333,0.0000,0.0000,1,
9,val,2020-07-14,2020-07-15,300,Alpha,True,0.2857,0.1429,0.0000,1,
9,val,2020-07-14,2020-07-15,300,Beta,True,0.1429,0.0000,0.0000,1,
9,val,2020-07-14,2020-07-15,300,Delta,True,0.1667,0.0000,0.0000,1,
9,val,2020-07-14,2020-07-15,300,Omicron_BA1,True,0.0714,0.0000,0.0000,2,S477N
9,val,2020-07-14,2020-07-15,300,Lambda,True,0.1667,0.0000,0.0000,1,
9,val,2020-07-14,2020-07-15,300,Mu,True,0.1111,0.0000,0.0000,1,
10,val,2020-07-15,2020-07-15,292,Gamma,True,0.1667,0.0833,0.0000,1,
10,val,2020-07-15,2020-07-15,292,Zeta,True,0.3333,0.0000,0.0000,1,
10,val,2020-07-15,2020-07-15,292,Alpha,True,0.2857,0.1429,0.0000,1,
10,val,2020-07-15,2020-07-15,292,Beta,True,0.2857,0.1429,0.0000,1,
10,val,2020-07-15,2020-07-15,292,Delta,True,0.1667,0.0000,0.0000,1,
