gid,split,date_min,date_max,n_leaves,voc_id,prospective,exact_recall,acquired_recall,bundle_frac,root_n_sig,root_bundle
1,test,2020-02-28,2020-09-04,296,Gamma,True,0.4167,0.2500,0.0000,2,
1,test,2020-02-28,2020-09-04,296,Zeta,True,1.0000,0.3333,0.0270,2,
1,test,2020-02-28,2020-09-04,296,Alpha,True,0.1429,0.0000,0.0000,1,
1,test,2020-02-28,2020-09-04,296,Beta,True,0.2857,0.1429,0.0000,1,
1,test,2020-02-28,2020-09-04,296,Delta,True,0.1667,0.0000,0.0000,1,
1,test,2020-02-28,2020-09-04,296,Omicron_BA1,True,0.0714,0.0357,0.0000,1,
1,test,2020-02-28,2020-09-04,296,Lambda,True,0.5000,0.3333,0.0000,1,
1,test,2020-02-28,2020-09-04,296,Mu,True,0.2222,0.1111,0.0000,1,
2,test,2020-09-07,2021-03-25,298,Gamma,True,1.0000,0.5833,0.0906,5,N501Y
2,test,2020-09-07,2021-03-25,298,Zeta,True,1.0000,0.3333,0.2919,2,
2,test,2020-09-07,2021-03-25,298,Alpha,True,0.2857,0.0000,0.0000,2,N501Y
2,test,2020-09-07,2021-03-25,298,Beta,True,0.4286,0.1429,0.0000,2,N501Y
2,test,2020-09-07,2021-03-25,298,Delta,True,0.6667,0.5000,0.0000,1,
2,test,2020-09-07,2021-03-25,298,Omicron_BA1,True,0.1786,0.0714,0.0000,3,N501Y
2,test,2020-09-07,2021-03-25,298,Lambda,True,0.3333,0.1667,0.0000,1,
2,test,2020-09-07,2021-03-25,298,Mu,True,0.6667,0.4444,0.0940,2,N501Y
3,test,2021-03-25,2021-05-10,300,Gamma,True,1.0000,0.5833,0.7133,5,N501Y
3,test,2021-03-25,2021-05-10,300,Zeta,True,1.0000,0.3333,0.7233,2,
3,test,2021-03-25,2021-05-10,300,Alpha,True,0.7143,0.4286,0.0067,2,N501Y
3,test,2021-03-25,2021-05-10,300,Beta,True,0.7143,0.4286,0.0000,2,N501Y
3,test,2021-03-25,2021-05-10,300,Delta,True,0.5000,0.3333,0.0000,1,
3,test,2021-03-25,2021-05-10,300,Omicron_BA1,True,0.2143,0.1071,0.0000,3,N501Y
3,test,2021-03-25,2021-05-10,300,Lambda,True,0.5000,0.3333,0.0000,1,
3,test,2021-03-25,2021-05-10,300,Mu,True,0.6667,0.4444,0.7167,2,N501Y
4,test,2021-05-10,2021-06-02,300,Gamma,True,1.0000,0.0833,0.9233,11,K417T;N501Y
4,test,2021-05-10,2021-06-02,300,Zeta,True,1.0000,0.3333,0.9267,2,
4,test,2021-05-10,2021-06-02,300,Alpha,True,0.7143,0.4286,0.0400,2,N501Y
4,test,2021-05-10,2021-06-02,300,Beta,True,0.7143,0.4286,0.0000,2,N501Y
4,test,2021-05-10,2021-06-02,300,Delta,True,0.3333,0.1667,0.0000,1,
4,test,2021-05-10,2021-06-02,300,Omicron_BA1,True,0.2500,0.1429,0.0000,3,N501Y
4,test,2021-05-10,2021-06-02,300,Lambda,True,0.5000,0.3333,0.0000,1,
4,test,2021-05-10,2021-06-02,300,Mu,True,0.5556,0.3333,0.9267,2,N501Y
5,test,2021-06-02,2021-06-08,298,Gamma,True,1.0000,0.1667,0.9698,2,
5,test,2021-06-02,2021-06-08,298,Zeta,True,1.0000,0.0000,0.9698,0,
5,test,2021-06-02,2021-06-08,298,Alpha,True,0.5714,0.0000,0.0436,0,
5,test,2021-06-02,2021-06-08,298,Beta,True,0.5714,0.1429,0.0000,0,
5,test,2021-06-02,2021-06-08,298,Delta,True,0.6667,0.1667,0.0000,0,
5,test,2021-06-02,2021-06-08,298,Omicron_BA1,True,0.2143,0.0000,0.0000,0,
5,test,2021-06-02,2021-06-08,298,Lambda,True,0.3333,0.1667,0.0000,0,
5,test,2021-06-02,2021-06-08,298,Mu,True,0.4444,0.0000,0.9698,0,
6,test,2021-06-08,2021-06-15,300,Gamma,True,1.0000,0.5000,0.9433,6,N501Y
6,test,2021-06-08,2021-06-15,300,Zeta,True,1.0000,0.3333,0.9500,2,
6,test,2021-06-08,2021-06-15,300,Alpha,True,0.5714,0.2857,0.0433,2,N501Y
6,test,2021-06-08,2021-06-15,300,Beta,True,0.4286,0.1429,0.0000,2,N501Y
6,test,2021-06-08,2021-06-15,300,Delta,True,0.8333,0.6667,0.0000,1,
6,test,2021-06-08,2021-06-15,300,Omicron_BA1,True,0.2857,0.1786,0.0000,3,N501Y
6,test,2021-06-08,2021-06-15,300,Lambda,True,0.5000,0.3333,0.0000,1,
6,test,2021-06-08,2021-06-15,300,Mu,True,0.5556,0.3333,0.9467,2,N501Y
7,test,2021-06-15,2021-07-05,300,Gamma,True,1.0000,0.6667,0.7833,4,K417T
7,test,2021-06-15,2021-07-05,300,Zeta,True,1.0000,0.3333,0.7833,2,
7,test,2021-06-15,2021-07-05,300,Alpha,True,0.5714,0.4286,0.0800,1,
7,test,2021-06-15,2021-07-05,300,Beta,True,0.4286,0.2857,0.0000,1,
7,test,2021-06-15,2021-07-05,300,Delta,True,1.0000,0.8333,0.0100,1,
7,test,2021-06-15,2021-07-05,300,Omicron_BA1,True,0.2857,0.2143,0.0000,2,
7,test,2021-06-15,2021-07-05,300,Lambda,True,0.1667,0.0000,0.0000,1,
7,test,2021-06-15,2021-07-05,300,Mu,True,0.6667,0.5556,0.7833,1,
8,test,2021-07-05,2021-07-09,258,Gamma,True,1.0000,0.1667,0.9109,10,K417T;N501Y
8,test,2021-07-05,2021-07-09,258,Zeta,True,1.0000,0.3333,0.9147,2,
8,test,2021-07-05,2021-07-09,258,Alpha,True,0.5714,0.2857,0.1473,2,N501Y
8,test,2021-07-05,2021-07-09,258,Beta,True,0.5714,0.2857,0.0000,2,N501Y
8,test,2021-07-05,2021-07-09,258,Delta,True,0.6667,0.5000,0.0000,1,
8,test,2021-07-05,2021-07-09,258,Omicron_BA1,True,0.2857,0.1786,0.0000,3,N501Y
8,test,2021-07-05,2021-07-09,258,Lambda,True,0.1667,0.0000,0.0000,1,
8,test,2021-07-05,2021-07-09,258,Mu,True,0.5556,0.3333,0.9109,2,N501Y
9,test,2021-07-09,2021-07-14,266,Gamma,True,1.0000,0.0833,0.9511,3,
9,test,2021-07-09,2021-07-14,266,Zeta,True,1.0000,0.0000,0.9511,0,
9,test,2021-07-09,2021-07-14,266,Alpha,True,0.5714,0.0000,0.1090,0,
9,test,2021-07-09,2021-07-14,266,Beta,True,0.4286,0.0000,0.0000,0,
