name,date
OK041128.1,2020-01-29
OK041134.1,2020-01-29
OK041133.1,2020-01-29
OK041132.1,2020-01-29
OK041131.1,2020-01-29
OK041127.1,2020-01-29
OK041130.1,2020-01-29
OK041129.1,2020-01-29
MW059036.1,2020-01-29
MT873892.1,2020-03-18
OL989057.1,2020-03-19
OL989059.1,2020-03-19
OP777407.1,2020-03-22
PQ461239.1,2020-03-23
OP777347.1,2020-03-24
MT882022.1,2020-03-27
MW255832.1,2020-03-29
OP777352.1,2020-03-31
OP777357.1,2020-04-02
OP777356.1,2020-04-02
OP777355.1,2020-04-02
PQ460051.1,2020-04-07
PQ460052.1,2020-04-09
OP777368.1,2020-04-09
OP777369.1,2020-04-09
OP777363.1,2020-04-09
OP777367.1,2020-04-09
OP777366.1,2020-04-09
OP777371.1,2020-04-11
MT906650.1,2020-04-11
OP777372.1,2020-04-12
OP777373.1,2020-04-16
OP777374.1,2020-04-17
OP777376.1,2020-04-17
OP777383.1,2020-04-22
OP777384.1,2020-04-22
OP777386.1,2020-04-26
PV367225.1,2020-04-27
OP777387.1,2020-04-27
OP777391.1,2020-04-28
OP777389.1,2020-04-28
OP777392.1,2020-04-28
OP777394.1,2020-04-28
OP777396.1,2020-04-30
MW041156.1,2020-05-01
OP777397.1,2020-05-06
OP777398.1,2020-05-11
OP777401.1,2020-05-11
OP777400.1,2020-05-11
OP777403.1,2020-05-14
OP777404.1,2020-05-27
MT906649.1,2020-06-18
OM294022.1,2020-07-15
ON911332.1,2020-10-13
PQ460057.1,2020-10-22
PQ460058.1,2020-10-23
PQ460060.1,2020-10-28
PQ460061.1,2020-10-29
PQ460062.1,2020-11-03
PQ460063.1,2020-11-03
PQ460065.1,2020-11-06
PQ460066.1,2020-11-08
PQ460067.1,2020-11-09
OQ847681.1,2020-11-11
PQ460068.1,2020-11-14
MZ376737.1,2020-11-24
PQ460079.1,2020-12-18
PQ460080.1,2020-12-24
OP485087.1,2021-01-01
OP485091.1,2021-01-01
OP485088.1,2021-01-01
PQ460086.1,2021-01-04
PQ460089.1,2021-01-08
OQ847680.1,2021-01-12
PQ460094.1,2021-01-15
PP346398.1,2021-08-01
PP346400.1,2021-08-01
PP346407.1,2021-08-01
PP346403.1,2021-08-01
PP346409.1,2021-08-01
PP346405.1,2021-08-01
PP346402.1,2021-08-01
PP346410.1,2021-08-01
PP346404.1,2021-08-01
PP346406.1,2021-08-01
PP346412.1,2021-08-01
PP346414.1,2021-08-01
PP346411.1,2021-08-01
PP346416.1,2021-08-01
PP346408.1,2021-08-01
PP346401.1,2021-08-01
PP346399.1,2021-08-01
PP346415.1,2021-08-01
PQ669232.1,2021-08-02
PQ669236.1,2021-08-30
PQ669234.1,2021-09-14
PQ460110.1,2021-09-21
PQ460109.1,2021-09-21
PQ460111.1,2021-09-22
PQ460114.1,2021-09-26
OR046026.1,2021-11-07
OM003685.1,2021-11-27
PV383178.1,2021-12-23
PQ669275.1,2022-01-17
PQ669276.1,2022-01-17
PQ461236.1,2022-02-16
PQ460154.1,2022-02-17
PQ461238.1,2022-02-20
PQ460158.1,2022-02-20
PQ460159.1,2022-02-20
PV383189.1,2022-03-15
PQ460181.1,2022-03-19
PQ460179.1,2022-03-19
PQ460187.1,2022-03-20
PQ460183.1,2022-03-20
PQ460184.1,2022-03-20
PV383192.1,2022-03-22
PQ460189.1,2022-03-23
PQ460190.1,2022-03-27
PQ460191.1,2022-03-27
OP680473.1,2022-03-28
OP680472.1,2022-03-28
PQ460208.1,2022-04-14
PQ460209.1,2022-04-15
PQ460217.1,2022-05-25
OR185743.1,2022-07-05
OR185744.1,2022-07-06
OR185746.1,2022-07-06
OR185745.1,2022-07-06
OR185756.1,2022-07-12
OR185748.1,2022-07-12
OR185747.1,2022-07-12
OR185749.1,2022-07-13
PP409023.1,2023-12-15
PP409021.1,2023-12-15
PP409024.1,2023-12-15
PP409025.1,2023-12-15
PP409034.1,2023-12-19
PP317651.1,2023-12-26
PP317654.1,2023-12-26
PP317649.1,2023-12-26
PP317664.1,2023-12-26
PP317660.1,2023-12-26
PP317648.1,2023-12-26
PP317655.1,2023-12-26
PP317656.1,2023-12-28
PP317674.1,2024-01-03
PP317658.1,2024-01-03
PP317657.1,2024-01-03
PP409655.1,2024-01-11
PP409654.1,2024-01-19
PP409657.1,2024-01-22
PP430228.1,2024-01-25
PP430232.1,2024-01-30
PP430230.1,2024-01-30
PP430231.1,2024-01-30
PP430237.1,2024-01-30
PP430229.1,2024-01-30
PP430238.1,2024-01-30
PP430280.1,2024-02-01
PP430286.1,2024-02-01
PP491110.1,2024-02-06
PP430284.1,2024-02-06
PP430281.1,2024-02-06
PP430285.1,2024-02-06
PP430282.1,2024-02-06
PP491102.1,2024-02-15
PP601401.1,2024-03-19
PQ202220.1,2024-06-25
PQ267985.1,2024-07-12
PQ267984.1,2024-07-18
PQ425299.1,2024-09-10
PQ425298.1,2024-09-10
PQ425297.1,2024-09-10
PQ535949.1,2024-09-30
PQ722763.1,2024-10-22
PQ591809.1,2024-10-22
PX703454.1,2024-12-08
PV910444.1,2025-01-29
PV702268.1,2025-02-18
PV702279.1,2025-03-03
PX116375.1,2025-04-02
