position,entropy,label,mut_freq
0,0.00000000,conserved,0.00000000
1,0.03195132,mutating,0.00183789
2,0.03343484,mutating,0.00169651
3,0.03786255,mutating,0.00278040
4,0.02992431,mutating,0.00127238
5,0.02932637,mutating,0.00108388
6,0.01922268,mutating,0.00161528
7,0.01912264,mutating,0.00223289
8,0.02887231,mutating,0.00342059
9,0.00612855,mutating,0.00175780
10,0.01674102,mutating,0.00156777
11,0.02531956,mutating,0.00266046
12,0.02125566,mutating,0.00228039
13,0.03057765,mutating,0.00351561
14,0.02656657,mutating,0.00313554
15,0.03507584,mutating,0.00475082
16,0.01579588,mutating,0.00123521
17,0.04380456,mutating,0.00346810
18,0.14768684,mutating,0.00893154
19,0.01530437,mutating,0.00152026
20,0.06799097,mutating,0.00413321
21,0.01987111,mutating,0.00204285
22,0.01804124,mutating,0.00223289
23,0.03227397,mutating,0.00242292
24,0.02233478,mutating,0.00251793
25,0.02949712,mutating,0.00365813
26,0.01383850,mutating,0.00104518
27,0.01956820,mutating,0.00194784
28,0.01412763,mutating,0.00114020
29,0.01401188,mutating,0.00109269
30,0.01540297,mutating,0.00128272
31,0.01423449,mutating,0.00109269
32,0.01366512,mutating,0.00099767
33,0.01481067,mutating,0.00118770
34,0.01751520,mutating,0.00123521
35,0.01465320,mutating,0.00118770
36,0.01730856,mutating,0.00166279
37,0.01451006,mutating,0.00123521
38,0.01403383,mutating,0.00109269
39,0.01455928,mutating,0.00118770
40,0.08351830,mutating,0.00356328
41,0.01368762,mutating,0.00099772
42,0.01918085,mutating,0.00152033
43,0.01394047,mutating,0.00109274
44,0.01417126,mutating,0.00118776
45,0.01936311,mutating,0.00199544
46,0.03685331,mutating,0.00342075
47,0.01595621,mutating,0.00147282
48,0.25961077,mutating,0.00441847
49,0.00167072,mutating,0.00042759
50,0.01386101,mutating,0.00104523
51,0.01383905,mutating,0.00104523
52,0.01386101,mutating,0.00104523
53,0.01493867,mutating,0.00118776
54,0.01386101,mutating,0.00104523
55,0.01367306,mutating,0.00104523
56,0.01383905,mutating,0.00104523
57,0.01409191,mutating,0.00114025
58,0.01478858,mutating,0.00137780
59,0.01401244,mutating,0.00109274
60,0.26154420,mutating,0.00603383
61,0.01473107,mutating,0.00133029
62,0.02425844,mutating,0.00190042
63,0.27823800,mutating,0.00418092
64,0.02612511,mutating,0.00209046
65,0.19747697,mutating,0.00422843
66,0.01519902,mutating,0.00118776
