gid,split,date_min,date_max,n_leaves,voc_id,prospective,exact_recall,acquired_recall,bundle_frac,root_n_sig,root_bundle
34,train,2020-03-11,2022-06-24,29,Gamma,True,0.2500,0.0833,0.0000,2,
34,train,2020-03-11,2022-06-24,29,Zeta,True,0.6667,0.3333,0.0345,1,
34,train,2020-03-11,2022-06-24,29,Alpha,True,0.1429,0.0000,0.0000,2,P681H
34,train,2020-03-11,2022-06-24,29,Beta,True,0.4286,0.2857,0.0000,1,
34,train,2020-03-11,2022-06-24,29,Delta,True,0.8333,0.6667,0.0000,1,
34,train,2020-03-11,2022-06-24,29,Omicron_BA1,True,0.2857,0.1786,0.0000,7,S375F;E484A;Q498R
34,train,2020-03-11,2022-06-24,29,Lambda,True,0.3333,0.1667,0.0000,1,
34,train,2020-03-11,2022-06-24,29,Mu,True,0.5556,0.4444,0.0000,2,
34,train,2020-03-11,2022-06-24,29,Kappa,True,0.7500,0.5000,0.0000,1,
289,train,2020-03-10,2022-07-19,163,Gamma,True,1.0000,0.2500,0.0061,0,
289,train,2020-03-10,2022-07-19,163,Zeta,True,1.0000,0.0000,0.0123,0,
289,train,2020-03-10,2022-07-19,163,Alpha,True,0.4286,0.0000,0.0000,0,
289,train,2020-03-10,2022-07-19,163,Beta,True,0.5714,0.0000,0.0000,0,
289,train,2020-03-10,2022-07-19,163,Delta,True,0.5000,0.0000,0.0000,0,
289,train,2020-03-10,2022-07-19,163,Omicron_BA1,True,0.2143,0.0000,0.0000,0,
289,train,2020-03-10,2022-07-19,163,Lambda,True,1.0000,0.0000,0.0061,0,
289,train,2020-03-10,2022-07-19,163,Mu,True,0.6667,0.0000,0.0061,0,
289,train,2020-03-10,2022-07-19,163,Kappa,True,0.5000,0.0000,0.0000,0,
188,train,2020-01-27,2020-06-05,300,Gamma,True,0.0833,0.0000,0.0000,1,
188,train,2020-01-27,2020-06-05,300,Zeta,True,0.3333,0.0000,0.0000,1,
188,train,2020-01-27,2020-06-05,300,Alpha,True,0.4286,0.2857,0.0000,1,
188,train,2020-01-27,2020-06-05,300,Beta,True,0.1429,0.0000,0.0000,1,
188,train,2020-01-27,2020-06-05,300,Delta,True,0.3333,0.1667,0.0000,1,
188,train,2020-01-27,2020-06-05,300,Omicron_BA1,True,0.0714,0.0357,0.0000,1,
188,train,2020-01-27,2020-06-05,300,Lambda,True,0.1667,0.0000,0.0000,1,
188,train,2020-01-27,2020-06-05,300,Mu,True,0.2222,0.1111,0.0000,1,
188,train,2020-01-27,2020-06-05,300,Kappa,True,0.5000,0.2500,0.0000,1,
189,train,2020-06-05,2020-07-06,297,Gamma,True,0.2500,0.1667,0.0000,1,
189,train,2020-06-05,2020-07-06,297,Zeta,True,0.3333,0.0000,0.0000,1,
189,train,2020-06-05,2020-07-06,297,Alpha,True,0.5714,0.4286,0.0000,1,
189,train,2020-06-05,2020-07-06,297,Beta,True,0.5714,0.4286,0.0000,1,
189,train,2020-06-05,2020-07-06,297,Delta,True,0.5000,0.3333,0.0000,1,
189,train,2020-06-05,2020-07-06,297,Omicron_BA1,True,0.1786,0.1429,0.0000,1,
189,train,2020-06-05,2020-07-06,297,Lambda,True,0.6667,0.5000,0.0000,1,
189,train,2020-06-05,2020-07-06,297,Mu,True,0.4444,0.3333,0.0000,1,
189,train,2020-06-05,2020-07-06,297,Kappa,True,0.5000,0.2500,0.0000,1,
190,train,2020-07-06,2021-02-25,300,Gamma,True,0.4167,0.3333,0.0000,1,
190,train,2020-07-06,2021-02-25,300,Zeta,True,0.6667,0.3333,0.0000,1,
190,train,2020-07-06,2021-02-25,300,Alpha,True,0.8571,0.7143,0.0000,1,
190,train,2020-07-06,2021-02-25,300,Beta,True,0.7143,0.5714,0.0000,1,
190,train,2020-07-06,2021-02-25,300,Delta,True,0.8333,0.3333,0.0000,3,L452R
190,train,2020-07-06,2021-02-25,300,Omicron_BA1,True,0.2857,0.2500,0.0000,1,
190,train,2020-07-06,2021-02-25,300,Lambda,True,0.5000,0.3333,0.0000,1,
190,train,2020-07-06,2021-02-25,300,Mu,True,0.6667,0.5556,0.0000,1,
190,train,2020-07-06,2021-02-25,300,Kappa,True,1.0000,0.2500,0.0133,3,L452R
191,train,2021-02-28,2021-06-03,299,Gamma,True,0.3333,0.2500,0.0000,1,
191,train,2021-02-28,2021-06-03,299,Zeta,True,0.6667,0.3333,0.0067,1,
191,train,2021-02-28,2021-06-03,299,Alpha,True,0.8571,0.7143,0.0000,1,
191,train,2021-02-28,2021-06-03,299,Beta,True,0.7143,0.5714,0.0000,1,
191,train,2021-02-28,2021-06-03,299,Delta,True,1.0000,0.5000,0.3813,3,L452R
191,train,2021-02-28,2021-06-03,299,Omicron_BA1,True,0.3571,0.2857,0.0000,2,
191,train,2021-02-28,2021-06-03,299,Lambda,True,0.5000,0.3333,0.0000,1,
191,train,2021-02-28,2021-06-03,299,Mu,True,0.7778,0.5556,0.0000,2,
191,train,2021-02-28,2021-06-03,299,Kappa,False,1.0000,0.0000,0.2341,4,L452R;E484Q
192,train,2021-06-04,2021-12-23,300,Gamma,True,0.4167,0.2500,0.0000,2,
192,train,2021-06-04,2021-12-23,300,Zeta,True,0.6667,0.3333,0.0067,1,
192,train,2021-06-04,2021-12-23,300,Alpha,True,0.5714,0.2857,0.0533,2,P681H
192,train,2021-06-04,2021-12-23,300,Beta,True,0.7143,0.4286,0.0000,2,K417N
192,train,2021-06-04,2021-12-23,300,Delta,True,1.0000,0.5000,0.7167,3,T478K
192,train,2021-06-04,2021-12-23,300,Omicron_BA1,True,1.0000,0.4643,0.0533,15,G339D;S371L;S373P;S375F;K417N;T478K;Y505H
192,train,2021-06-04,2021-12-23,300,Lambda,True,0.5000,0.3333,0.0000,1,
192,train,2021-06-04,2021-12-23,300,Mu,True,0.7778,0.3333,0.0267,4,
192,train,2021-06-04,2021-12-23,300,Kappa,True,1.0000,0.7500,0.0067,1,
193,train,2021-12-23,2022-12-24,300,Gamma,True,0.2500,0.0833,0.0000,2,N501Y
193,train,2021-12-23,2022-12-24,300,Zeta,True,0.3333,0.0000,0.0000,1,
193,train,2021-12-23,2022-12-24,300,Alpha,True,0.7143,0.4286,0.2233,2,N501Y
193,train,2021-12-23,2022-12-24,300,Beta,True,0.8571,0.5714,0.0000,2,N501Y
193,train,2021-12-23,2022-12-24,300,Delta,True,1.0000,0.5000,0.0167,3,T478K
193,train,2021-12-23,2022-12-24,300,Omicron_BA1,False,0.8214,0.3214,0.2233,14,S373P;S375F;N440K;S477N;T478K;E484A;Q493R;N501Y;Y505H
193,train,2021-12-23,2022-12-24,300,Lambda,True,0.3333,0.1667,0.0000,1,
193,train,2021-12-23,2022-12-24,300,Mu,True,0.7778,0.4444,0.0000,3,N501Y
193,train,2021-12-23,2022-12-24,300,Kappa,True,1.0000,0.5000,0.0033,2,
301,train,2020-07-03,2020-10-20,300,Gamma,True,0.4167,0.4167,0.0000,0,
301,train,2020-07-03,2020-10-20,300,Zeta,True,1.0000,1.0000,0.0200,0,
301,train,2020-07-03,2020-10-20,300,Alpha,True,0.5714,0.4286,0.0000,1,
301,train,2020-07-03,2020-10-20,300,Beta,True,0.8571,0.8571,0.0000,0,
301,train,2020-07-03,2020-10-20,300,Delta,True,0.5000,0.3333,0.0000,1,
301,train,2020-07-03,2020-10-20,300,Omicron_BA1,True,0.2143,0.2143,0.0000,0,
301,train,2020-07-03,2020-10-20,300,Lambda,True,0.3333,0.3333,0.0000,0,
301,train,2020-07-03,2020-10-20,300,Mu,True,0.6667,0.6667,0.0000,0,
301,train,2020-07-03,2020-10-20,300,Kappa,True,0.5000,0.2500,0.0000,1,
302,train,2020-10-20,2021-01-21,299,Gamma,True,0.5000,0.3333,0.0000,2,E484K
302,train,2020-10-20,2021-01-21,299,Zeta,False,0.6667,0.0000,0.1237,2,E484K
302,train,2020-10-20,2021-01-21,299,Alpha,True,0.4286,0.2857,0.0000,1,
302,train,2020-10-20,2021-01-21,299,Beta,True,1.0000,0.7143,0.0635,2,E484K
302,train,2020-10-20,2021-01-21,299,Delta,True,0.8333,0.5000,0.0000,2,
302,train,2020-10-20,2021-01-21,299,Omicron_BA1,True,0.2500,0.2143,0.0000,1,
302,train,2020-10-20,2021-01-21,299,Lambda,True,0.1667,0.0000,0.0000,1,
302,train,2020-10-20,2021-01-21,299,Mu,True,0.4444,0.1111,0.0635,3,E484K
302,train,2020-10-20,2021-01-21,299,Kappa,True,0.7500,0.5000,0.0000,1,
303,train,2021-01-24,2021-06-15,300,Gamma,True,0.5833,0.3333,0.0000,3,
303,train,2021-01-24,2021-06-15,300,Zeta,True,0.6667,0.3333,0.0333,1,
303,train,2021-01-24,2021-06-15,300,Alpha,True,0.5714,0.4286,0.0000,1,
303,train,2021-01-24,2021-06-15,300,Beta,True,1.0000,0.8571,0.0267,1,
303,train,2021-01-24,2021-06-15,300,Delta,True,1.0000,0.6667,0.0367,2,L452R
303,train,2021-01-24,2021-06-15,300,Omicron_BA1,True,0.3929,0.3214,0.0000,2,
303,train,2021-01-24,2021-06-15,300,Lambda,True,0.3333,0.1667,0.0000,1,
303,train,2021-01-24,2021-06-15,300,Mu,True,0.6667,0.5556,0.0267,1,
303,train,2021-01-24,2021-06-15,300,Kappa,True,0.7500,0.2500,0.0000,2,L452R
308,train,2021-09-14,2021-12-23,300,Gamma,True,0.4167,0.4167,0.0000,0,
308,train,2021-09-14,2021-12-23,300,Zeta,True,0.3333,0.3333,0.0000,0,
308,train,2021-09-14,2021-12-23,300,Alpha,True,0.5714,0.5714,0.0000,0,
308,train,2021-09-14,2021-12-23,300,Beta,True,0.8571,0.8571,0.0000,0,
308,train,2021-09-14,2021-12-23,300,Delta,True,1.0000,0.5000,0.1167,3,L452R
308,train,2021-09-14,2021-12-23,300,Omicron_BA1,True,0.3929,0.3571,0.0000,1,S375F
308,train,2021-09-14,2021-12-23,300,Lambda,True,0.3333,0.3333,0.0000,0,
308,train,2021-09-14,2021-12-23,300,Mu,True,0.4444,0.4444,0.0000,0,
308,train,2021-09-14,2021-12-23,300,Kappa,True,0.7500,0.2500,0.0000,2,L452R
309,train,2021-12-26,2023-01-31,280,Gamma,True,0.1667,0.0833,0.0000,1,
309,train,2021-12-26,2023-01-31,280,Zeta,True,0.0000,0.0000,0.0000,0,
309,train,2021-12-26,2023-01-31,280,Alpha,True,0.2857,0.2857,0.0000,0,
309,train,2021-12-26,2023-01-31,280,Beta,True,0.5714,0.4286,0.0000,1,K417N
309,train,2021-12-26,2023-01-31,280,Delta,True,0.8333,0.5000,0.0000,2,L452R
309,train,2021-12-26,2023-01-31,280,Omicron_BA1,True,0.3214,0.1786,0.0000,4,K417N;Q493R
309,train,2021-12-26,2023-01-31,280,Lambda,True,0.1667,0.1667,0.0000,0,
